min_score,max_rent,rent,apt_score
1,362,115,2
4,362,0,
3,362,0,
1,362,115,2
5,363,0,
3,363,0,
2,364,110,2
5,364,0,
1,365,132,2
2,365,105,2
4,365,0,
4,365,0,
3,365,0,
4,366,0,
2,366,115,2
5,366,0,
5,367,0,
5,367,0,
3,367,0,
2,367,110,2
3,368,0,
2,369,120,2
1,369,120,2
1,369,110,2
4,370,0,
5,370,0,
1,371,120,2
5,371,0,
3,372,0,
3,372,0,
4,372,0,
1,372,115,2
2,372,115,2
5,372,0,
1,373,126,2
3,374,0,
1,374,132,2
5,374,0,
2,375,132,2
2,375,120,2
4,376,0,
4,376,0,
3,376,0,
1,377,110,2
2,377,110,2
1,377,110,2
1,377,115,2
5,378,0,
4,379,0,
5,379,0,
3,379,0,
2,380,115,2
5,381,0,
4,382,0,
4,383,0,
1,383,105,2
1,384,110,2
2,384,126,2
4,384,0,
2,384,115,2
4,385,0,
4,385,0,
1,386,115,2
1,386,138,2
4,387,0,
5,387,0,
4,387,0,
4,388,0,
1,388,115,2
2,388,110,2
1,388,115,2
3,389,0,
1,389,105,2
2,389,115,2
5,389,0,
1,389,132,2
3,390,0,
2,390,115,2
2,390,105,2
3,390,0,
3,390,0,
5,391,0,
4,391,0,
3,391,0,
4,391,0,
2,392,132,2
5,392,0,
1,392,132,2
3,392,0,
4,392,0,
4,392,0,
4,393,0,
5,393,0,
4,393,0,
2,394,110,2
5,394,0,
3,395,0,
4,395,0,
5,396,0,
4,396,0,
3,397,0,
4,398,0,
1,398,115,2
1,398,115,2
2,398,120,2
4,399,0,
1,399,110,2
4,400,0,
5,400,0,
3,400,0,
2,400,105,2
1,400,144,2
4,400,0,
1,401,120,2
3,401,0,
2,401,115,2
4,402,0,
1,402,105,2
5,402,0,
2,402,105,2
5,402,0,
4,403,0,
2,403,105,2
1,403,115,2
1,404,105,2
1,405,120,2
5,405,0,
3,406,0,
4,406,0,
2,406,105,2
2,407,115,2
4,407,0,
1,407,132,2
1,407,110,2
5,407,0,
2,407,126,2
3,407,0,
4,408,0,
2,408,105,2
3,408,0,
2,408,115,2
1,408,120,2
3,408,0,
2,409,110,2
2,409,110,2
1,409,132,2
2,410,115,2
3,410,0,
3,410,0,
4,411,0,
5,411,0,
4,411,0,
4,411,0,
1,411,120,2
4,412,0,
4,412,0,
1,412,126,2
3,413,0,
5,413,0,
5,413,0,
3,414,0,
1,414,132,2
4,414,0,
3,414,0,
4,414,0,
1,414,120,2
5,414,0,
4,415,0,
5,415,0,
4,416,0,
3,416,0,
4,416,0,
5,416,0,
3,416,0,
2,416,110,2
2,417,132,2
5,417,0,
1,417,126,2
3,417,0,
1,418,105,2
2,418,110,2
1,418,105,2
1,418,126,2
2,418,105,2
1,418,110,2
1,418,110,2
2,419,115,2
2,419,120,2
5,419,0,
5,419,0,
4,419,0,
2,420,115,2
3,420,0,
1,420,115,2
1,421,105,2
1,421,105,2
5,421,0,
3,421,0,
2,421,110,2
2,421,110,2
2,421,110,2
3,422,0,
3,422,0,
1,422,115,2
2,422,115,2
5,423,0,
5,423,0,
1,423,105,2
3,423,0,
4,423,0,
1,424,120,2
1,424,110,2
4,424,0,
5,424,0,
3,425,0,
2,425,126,2
3,425,0,
5,426,0,
2,426,110,2
5,426,0,
1,426,110,2
1,428,132,2
1,428,110,2
1,428,105,2
4,428,0,
2,429,115,2
4,429,0,
1,430,115,2
4,430,0,
2,430,105,2
3,430,0,
5,430,0,
4,430,0,
4,430,0,
3,431,0,
3,431,0,
2,432,110,2
4,432,0,
4,432,0,
3,432,0,
1,433,115,2
2,433,115,2
1,433,132,2
2,433,120,2
1,434,120,2
2,434,105,2
4,434,0,
5,434,0,
4,435,0,
3,435,0,
3,435,0,
4,435,0,
2,435,120,2
3,435,0,
4,436,0,
3,436,0,
3,437,0,
2,437,126,2
4,437,0,
4,437,0,
4,437,0,
2,437,120,2
3,437,0,
3,438,0,
5,438,0,
2,438,115,2
4,438,0,
5,439,0,
1,439,120,2
5,440,0,
2,440,120,2
4,440,0,
5,440,0,
3,440,0,
3,440,0,
3,440,0,
2,440,110,2
3,440,0,
2,441,110,2
1,441,120,2
5,441,0,
3,441,0,
4,441,0,
4,441,0,
2,442,120,2
1,444,110,2
2,444,105,2
1,444,115,2
2,445,126,2
2,445,110,2
1,445,126,2
1,445,120,2
2,445,110,2
4,446,0,
4,447,0,
4,447,0,
1,447,110,2
4,447,0,
5,447,0,
4,449,0,
5,449,0,
5,449,0,
3,450,0,
5,450,0,
4,451,0,
4,451,0,
3,452,0,
1,452,110,2
4,452,0,
4,452,0,
3,453,0,
1,453,105,2
5,453,0,
4,453,0,
3,453,0,
1,454,105,2
1,454,115,2
5,454,0,
1,454,138,2
4,455,0,
4,455,0,
5,455,0,
1,455,115,2
2,455,115,2
1,455,110,2
4,455,0,
5,456,0,
1,456,105,2
3,456,0,
1,456,126,2
1,457,120,2
2,457,126,2
2,457,115,2
1,457,110,2
2,457,115,2
5,458,0,
2,458,105,2
5,458,0,
3,458,0,
3,458,0,
3,458,0,
4,458,0,
4,458,0,
4,459,0,
1,459,110,2
4,460,0,
3,460,0,
3,461,0,
4,462,0,
2,462,105,2
5,463,0,
4,463,0,
1,464,110,2
3,464,0,
5,464,0,
4,464,0,
4,464,0,
2,464,138,2
4,466,0,
5,466,0,
1,467,115,2
3,467,0,
5,467,0,
4,467,0,
1,467,120,2
3,467,0,
5,467,0,
2,468,115,2
2,468,120,2
4,468,0,
5,468,0,
2,468,115,2
3,468,0,
5,469,0,
3,469,0,
2,469,138,2
4,470,0,
1,470,126,2
3,470,0,
5,470,0,
4,470,0,
3,470,0,
1,471,120,2
4,471,0,
1,471,115,2
2,471,110,2
5,471,0,
2,471,105,2
2,471,126,2
3,472,0,
1,472,105,2
3,473,0,
4,473,0,
1,473,132,2
5,473,0,
4,473,0,
4,474,0,
4,474,0,
5,474,0,
3,475,0,
4,475,0,
1,475,120,2
3,475,0,
1,476,120,2
3,476,0,
3,476,0,
2,476,110,2
5,477,0,
1,478,105,2
5,478,0,
3,478,0,
2,478,115,2
2,478,115,2
1,478,115,2
2,479,105,2
5,479,0,
5,479,0,
1,479,115,2
5,479,0,
1,480,105,2
3,480,0,
5,480,0,
1,481,115,2
5,481,0,
3,481,0,
1,481,110,2
3,481,0,
1,482,126,2
