min_score,max_rent,rent,apt_score
1,1218,105,1
2,1225,591,2
2,1225,465,2
2,1226,789,2
4,1230,0,
5,1233,0,
2,1236,752,2
2,1240,563,2
4,1241,0,
3,1241,0,
5,1245,0,
5,1248,0,
2,1252,591,2
4,1253,0,
4,1253,0,
3,1255,0,
3,1256,0,
5,1264,0,
5,1264,0,
1,1266,789,2
3,1272,0,
4,1277,0,
1,1278,105,1
5,1282,0,
3,1285,0,
4,1287,0,
3,1290,0,
2,1294,717,2
4,1294,0,
3,1300,0,
4,1303,0,
5,1305,0,
5,1305,0,
2,1310,912,2
5,1311,0,
3,1312,0,
2,1319,828,2
1,1323,789,2
3,1334,0,
3,1339,0,
5,1343,0,
5,1343,0,
2,1345,620,2
3,1346,0,
5,1347,0,
1,1349,912,2
4,1349,0,
1,1350,105,1
2,1351,563,2
5,1355,0,
1,1358,563,2
3,1359,0,
5,1360,0,
3,1362,0,
2,1366,789,2
4,1367,0,
4,1368,0,
4,1369,0,
5,1373,0,
5,1374,0,
3,1374,0,
2,1377,512,2
3,1381,0,
3,1382,0,
2,1382,717,2
1,1385,537,2
5,1387,0,
4,1390,0,
5,1394,0,
3,1396,0,
5,1402,0,
4,1404,0,
3,1407,0,
4,1409,0,
3,1409,0,
3,1411,0,
3,1413,0,
2,1414,563,2
5,1416,0,
1,1417,110,1
4,1418,0,
1,1420,105,1
3,1421,0,
5,1423,0,
3,1425,0,
2,1436,1004,2
2,1438,537,2
3,1443,0,
3,1443,0,
3,1444,0,
2,1449,563,2
3,1451,0,
5,1454,0,
4,1454,0,
1,1458,105,1
3,1460,0,
5,1463,0,
2,1464,563,2
1,1466,105,1
4,1467,0,
1,1470,591,2
1,1471,563,2
3,1474,0,
5,1475,0,
2,1478,717,2
1,1479,512,2
1,1479,591,2
2,1483,828,2
2,1484,651,2
1,1487,717,2
1,1492,488,2
3,1494,0,
5,1495,0,
2,1495,752,2
3,1495,0,
5,1502,0,
2,1504,789,2
1,1506,591,2
1,1507,912,2
4,1514,0,
3,1516,0,
5,1517,0,
1,1518,105,1
5,1521,0,
1,1523,717,2
5,1528,0,
2,1532,488,2
4,1537,0,
5,1538,0,
5,1539,0,
4,1543,0,
4,1547,0,
1,1550,912,2
4,1554,0,
2,1555,752,2
2,1555,651,2
1,1557,512,2
5,1557,0,
2,1559,683,2
3,1559,0,
5,1561,0,
1,1561,620,2
3,1568,0,
1,1572,828,2
2,1573,591,2
2,1575,620,2
5,1578,0,
5,1580,0,
1,1582,422,2
2,1584,620,2
2,1588,789,2
4,1589,0,
1,1591,651,2
4,1595,0,
1,1597,620,2
3,1602,0,
4,1602,0,
2,1606,789,2
3,1610,0,
3,1612,0,
5,1615,0,
3,1615,0,
4,1615,0,
2,1625,651,2
2,1626,683,2
4,1629,0,
3,1632,0,
4,1632,0,
4,1633,0,
4,1633,0,
1,1635,465,2
5,1636,0,
5,1636,0,
3,1644,0,
2,1644,563,2
1,1645,651,2
4,1645,0,
2,1651,620,2
5,1654,0,
4,1657,0,
4,1670,0,
3,1671,0,
5,1679,0,
5,1680,0,
4,1681,0,
1,1684,488,2
3,1688,0,
3,1698,0,
5,1702,0,
4,1719,0,
2,1723,717,2
1,1723,537,2
5,1725,0,
2,1728,620,2
2,1729,620,2
5,1730,0,
3,1731,0,
3,1734,0,
4,1740,0,
1,1743,683,2
3,1749,0,
5,1750,0,
1,1750,512,2
3,1751,0,
1,1754,105,1
5,1757,0,
1,1758,563,2
1,1758,620,2
4,1758,0,
5,1759,0,
4,1760,0,
1,1761,105,1
2,1762,591,2
1,1769,105,1
3,1770,0,
4,1770,0,
2,1772,828,2
5,1774,0,
2,1776,869,2
2,1776,912,2
5,1778,0,
1,1778,512,2
1,1788,537,2
5,1795,0,
4,1796,0,
5,1796,0,
2,1797,683,2
2,1799,591,2
1,1804,620,2
1,1806,591,2
1,1809,563,2
4,1814,0,
1,1826,110,1
3,1831,0,
4,1832,0,
4,1833,0,
4,1843,0,
2,1844,1795,3
4,1850,0,
5,1852,0,
1,1854,828,2
4,1856,0,
2,1861,1795,3
5,1864,0,
2,1872,563,2
2,1879,828,2
2,1884,512,2
3,1886,1884,3
2,1894,1884,3
5,1896,0,
1,1903,1884,3
2,1903,1884,3
1,1904,1884,3
4,1906,0,
2,1906,1884,3
3,1906,1884,3
3,1909,1884,3
3,1911,1884,3
2,1916,563,2
4,1917,0,
2,1921,1884,3
1,1923,1884,3
3,1926,1884,3
4,1933,0,
2,1937,1884,3
5,1939,0,
1,1939,1884,3
4,1942,0,
4,1945,0,
3,1956,1884,3
1,1964,1884,3
2,1971,1884,3
5,1976,0,
4,1977,0,
5,1981,0,
5,1984,0,
3,1984,1884,3
3,1986,1978,3
3,1986,1884,3
5,1987,0,
4,1988,0,
4,1999,0,
5,1999,0,
2,2000,1978,3
1,2004,1978,3
2,2008,1978,3
3,2015,1884,3
4,2017,0,
3,2017,1884,3
4,2018,0,
3,2024,1978,3
2,2025,1978,3
5,2025,0,
4,2030,0,
5,2037,0,
2,2038,1978,3
4,2038,0,
2,2041,1978,3
2,2041,1978,3
5,2044,0,
2,2047,1978,3
3,2049,1978,3
2,2050,1978,3
5,2061,0,
1,2064,1884,3
2,2066,1978,3
5,2066,0,
3,2068,1978,3
5,2071,0,
1,2081,2076,3
4,2082,0,
3,2082,1978,3
3,2087,1978,3
2,2087,2076,3
4,2088,0,
2,2088,2076,3
3,2090,1978,3
1,2091,1978,3
1,2095,1978,3
4,2096,0,
3,2096,2076,3
4,2096,0,
4,2105,0,
2,2109,2076,3
5,2113,0,
3,2116,2076,3
2,2121,2076,3
4,2122,0,
5,2124,0,
2,2124,1884,3
2,2125,1884,3
4,2131,0,
5,2131,0,
1,2135,2076,3
4,2138,0,
1,2149,2076,3
3,2154,2076,3
4,2164,0,
3,2172,2076,3
5,2175,0,
2,2177,1884,3
2,2178,1978,3
5,2178,0,
4,2185,0,
2,2190,1978,3
2,2206,2076,3
4,2208,0,
5,2217,0,
4,2219,0,
4,2220,0,
3,2225,1978,3
2,2225,2179,3
4,2236,0,
2,2238,2076,3
1,2241,2179,3
5,2241,0,
3,2243,2179,3
3,2244,2076,3
3,2246,2076,3
4,2249,0,
1,2249,2179,3
4,2250,0,
3,2258,2179,3
2,2259,1884,3
3,2260,2076,3
3,2260,1978,3
1,2270,1978,3
5,2274,0,
4,2275,0,
4,2278,0,
5,2280,0,
5,2283,0,
3,2287,2179,3
2,2289,2076,3
1,2290,2076,3
2,2299,2076,3
3,2306,1884,3
1,2315,2076,3
2,2318,2076,3
3,2325,2076,3
4,2330,0,
5,2332,0,
4,2343,0,
3,2346,1978,3
3,2349,2179,3
3,2362,2179,3
2,2366,2287,3
5,2383,0,
2,2386,1978,3
3,2389,2179,3
1,2389,2076,3
1,2402,1978,3
1,2414,2076,3
4,2416,0,
4,2418,0,
3,2421,2179,3
1,2421,1978,3
5,2424,0,
4,2426,0,
5,2428,0,
4,2438,0,
5,2439,0,
2,2444,2401,3
3,2452,2076,3
2,2462,2179,3
5,2463,0,
5,2466,0,
1,2470,2179,3
4,2475,0,
1,2479,1978,3
5,2480,0,
5,2480,0,
5,2482,0,
2,2485,2287,3
4,2492,0,
1,2493,2076,3
1,2499,2179,3
4,2500,0,
3,2503,2179,3
4,2503,0,
1,2507,2401,3
1,2508,2076,3
5,2509,0,
5,2512,0,
3,2513,1978,3
2,2515,1978,3
5,2519,0,
2,2520,1978,3
2,2521,2401,3
3,2525,2287,3
2,2527,2076,3
1,2534,2287,3
2,2543,2076,3
2,2546,2076,3
4,2548,0,
2,2550,1978,3
5,2550,0,
1,2555,2287,3
2,2555,2287,3
2,2556,1978,3
3,2561,2521,3
5,2573,0,
4,2575,0,
5,2578,0,
2,2581,2179,3
3,2599,2179,3
5,2601,0,
3,2603,1978,3
4,2607,0,
5,2607,0,
5,2615,0,
3,2616,2076,3
2,2626,2076,3
1,2627,2287,3
3,2629,2401,3
2,2632,2076,3
1,2634,2179,3
1,2638,2401,3
3,2650,2401,3
3,2656,2179,3
5,2659,0,
3,2662,2287,3
5,2667,0,
5,2669,0,
5,2672,0,
2,2674,2401,3
2,2675,2521,3
4,2685,0,
5,2690,0,
3,2694,2287,3
5,2697,0,
4,2700,0,
3,2700,2179,3
3,2702,2179,3
3,2706,2647,3
2,2707,2287,3
1,2707,1884,3
3,2740,2287,3
3,2756,2401,3
5,2757,0,
2,2757,2179,3
1,2765,2521,3
1,2768,2521,3
2,2778,1884,3
3,2792,2401,3
3,2798,2287,3
5,2799,0,
2,2802,2401,3
5,2802,0,
4,2806,0,
1,2810,2401,3
5,2820,0,
2,2821,2401,3
5,2825,0,
5,2827,0,
2,2828,1884,3
1,2834,2179,3
2,2834,2179,3
1,2836,2179,3
1,2837,2076,3
2,2839,2076,3
2,2852,2647,3
3,2859,2401,3
