min_score,max_rent,rent,apt_score
1,358,110,1
1,358,105,1
4,358,0,
2,358,0,
2,358,0,
4,359,0,
1,359,105,1
2,359,0,
3,359,0,
3,360,0,
1,360,105,1
2,360,0,
1,361,110,1
1,361,105,1
5,361,0,
3,361,0,
4,362,0,
3,363,0,
3,363,0,
1,364,105,1
5,364,0,
1,364,105,1
2,364,0,
1,364,105,1
4,365,0,
5,365,0,
3,365,0,
1,365,105,1
1,366,110,1
4,366,0,
4,366,0,
2,367,0,
5,367,0,
2,368,0,
2,369,0,
5,369,0,
2,370,0,
2,370,0,
3,370,0,
3,371,0,
1,371,110,1
3,372,0,
3,372,0,
3,372,0,
5,372,0,
5,372,0,
3,372,0,
1,372,105,1
4,374,0,
2,374,0,
3,374,0,
3,374,0,
5,374,0,
4,374,0,
3,375,0,
5,375,0,
4,375,0,
4,376,0,
2,376,0,
2,376,0,
4,377,0,
5,377,0,
2,377,0,
5,377,0,
2,377,0,
2,378,0,
3,378,0,
4,378,0,
4,379,0,
1,379,105,1
3,380,0,
2,380,0,
5,380,0,
2,381,0,
4,381,0,
5,381,0,
3,381,0,
3,381,0,
5,381,0,
5,381,0,
2,382,0,
4,383,0,
5,383,0,
1,383,110,1
3,383,0,
5,384,0,
5,384,0,
3,384,0,
1,385,105,1
4,386,0,
2,386,0,
2,386,0,
2,386,0,
4,386,0,
3,386,0,
1,386,105,1
2,386,0,
1,386,105,1
2,386,0,
1,387,105,1
5,387,0,
3,387,0,
4,387,0,
5,388,0,
3,388,0,
1,389,105,1
3,389,0,
5,390,0,
3,390,0,
1,390,105,1
4,390,0,
4,390,0,
3,391,0,
2,391,0,
4,392,0,
2,392,0,
4,392,0,
5,393,0,
5,393,0,
2,394,0,
3,394,0,
5,394,0,
3,395,0,
5,395,0,
1,396,105,1
5,396,0,
4,396,0,
3,396,0,
1,396,115,1
5,397,0,
3,397,0,
2,398,0,
3,398,0,
4,399,0,
3,399,0,
3,399,0,
4,399,0,
2,399,0,
4,399,0,
2,401,0,
2,401,0,
5,401,0,
2,402,0,
4,402,0,
3,402,0,
1,403,110,1
3,403,0,
4,403,0,
3,403,0,
3,403,0,
3,404,0,
4,404,0,
2,404,0,
5,405,0,
1,406,105,1
2,406,0,
5,406,0,
3,407,0,
3,407,0,
3,407,0,
2,407,0,
3,407,0,
3,408,0,
4,408,0,
4,408,0,
2,408,0,
3,409,0,
5,409,0,
3,409,0,
3,409,0,
4,410,0,
5,410,0,
1,410,105,1
2,411,0,
4,411,0,
1,412,105,1
1,413,105,1
5,413,0,
5,413,0,
2,414,0,
2,414,0,
5,414,0,
4,415,0,
2,415,0,
5,415,0,
3,415,0,
3,415,0,
2,415,0,
1,416,105,1
2,416,0,
2,417,0,
3,417,0,
5,417,0,
2,417,0,
2,417,0,
4,417,0,
1,417,105,1
5,418,0,
5,419,0,
3,419,0,
4,419,0,
1,419,105,1
3,419,0,
3,420,0,
1,420,110,1
1,421,105,1
3,422,0,
1,422,105,1
5,422,0,
3,423,0,
2,423,0,
5,423,0,
4,423,0,
5,424,0,
1,424,105,1
1,424,105,1
3,424,0,
3,424,0,
3,425,0,
4,425,0,
1,425,105,1
3,425,0,
4,425,0,
3,425,0,
2,426,0,
3,427,0,
3,428,0,
3,429,0,
4,429,0,
3,429,0,
3,430,0,
5,430,0,
2,430,0,
5,430,0,
5,430,0,
4,431,0,
3,431,0,
1,431,105,1
5,432,0,
1,432,110,1
2,432,0,
3,432,0,
1,432,105,1
5,432,0,
4,432,0,
5,433,0,
5,433,0,
2,433,0,
4,433,0,
1,435,105,1
4,435,0,
1,435,105,1
4,435,0,
2,436,0,
5,437,0,
5,438,0,
4,438,0,
3,439,0,
2,439,0,
2,439,0,
4,439,0,
3,440,0,
4,440,0,
3,440,0,
5,440,0,
5,441,0,
3,441,0,
3,441,0,
5,441,0,
4,441,0,
1,442,110,1
1,442,110,1
4,442,0,
4,443,0,
4,443,0,
2,443,0,
4,443,0,
5,443,0,
3,444,0,
3,444,0,
5,444,0,
5,445,0,
1,445,105,1
3,446,0,
1,447,105,1
2,447,0,
1,447,105,1
3,447,0,
4,447,0,
4,447,0,
2,448,0,
1,448,110,1
4,448,0,
4,448,0,
3,448,0,
3,448,0,
3,448,0,
2,449,0,
1,449,110,1
2,449,0,
2,449,0,
3,449,0,
3,450,0,
2,450,0,
5,450,0,
1,450,105,1
4,450,0,
2,450,0,
3,451,0,
1,452,105,1
3,452,0,
3,452,0,
3,453,0,
2,453,0,
3,453,0,
5,454,0,
1,454,105,1
2,454,0,
1,454,105,1
5,454,0,
4,454,0,
4,455,0,
1,455,105,1
1,455,105,1
1,455,105,1
2,455,0,
5,456,0,
3,456,0,
1,456,105,1
5,456,0,
2,457,0,
3,457,0,
3,457,0,
4,457,0,
2,457,0,
3,457,0,
3,458,0,
5,458,0,
5,458,0,
3,458,0,
5,459,0,
5,459,0,
5,459,0,
2,460,0,
1,460,115,1
5,460,0,
1,460,110,1
3,460,0,
1,460,105,1
2,461,0,
5,461,0,
1,461,110,1
4,461,0,
5,462,0,
1,462,105,1
3,463,0,
5,463,0,
2,463,0,
1,463,105,1
5,463,0,
4,463,0,
1,463,105,1
1,463,105,1
4,463,0,
2,463,0,
2,463,0,
5,464,0,
4,464,0,
4,464,0,
3,464,0,
5,464,0,
